antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
quiz_score_quiz_GOOD,status_status_COMPLETED,0.3496774193548387,0.5916129032258064,0.287258064516129,0.8214944649446494,1.3885675252608578,1.0,0.0803843912591051,2.2878119529882466,0.4302993235474987,0.4392108508014797,0.5629011384900579,0.6535225868889005
status_status_COMPLETED,quiz_score_quiz_GOOD,0.5916129032258064,0.3496774193548387,0.287258064516129,0.4855507088331516,1.388567525260858,1.0,0.0803843912591051,1.2641140571311353,0.6852159844168699,0.4392108508014797,0.20893214155891365,0.6535225868889005
"course_Machine Learning, quiz_score_quiz_GOOD",status_status_COMPLETED,0.13322580645161292,0.5916129032258064,0.10983870967741935,0.8244552058111378,1.3935720490809855,1.0,0.031020603537981264,2.3263982202447147,0.32582833428150004,0.17859952793076317,0.5701509778945714,0.5050574829491894
"course_Machine Learning, status_status_COMPLETED",quiz_score_quiz_GOOD,0.2246774193548387,0.3496774193548387,0.10983870967741935,0.48887293610911703,1.3980683597216446,1.0,0.03127408949011447,1.2723305545487498,0.36723732857766467,0.23645833333333333,0.21404072516778908,0.40149366362651423
quiz_score_quiz_GOOD,"course_Machine Learning, status_status_COMPLETED",0.3496774193548387,0.2246774193548387,0.10983870967741935,0.31411439114391143,1.3980683597216446,1.0,0.03127408949011447,1.1303963381564963,0.4378248607323497,0.23645833333333333,0.11535452987148967,0.40149366362651423
status_status_COMPLETED,"course_Machine Learning, quiz_score_quiz_GOOD",0.5916129032258064,0.13322580645161292,0.10983870967741935,0.185659760087241,1.3935720490809855,1.0,0.031020603537981264,1.0643882631186754,0.69154876320252,0.17859952793076317,0.060493210372328646,0.5050574829491894
platform_activity_act_VHIGH,status_status_COMPLETED,0.2796774193548387,0.5916129032258064,0.25225806451612903,0.9019607843137255,1.5245792973678023,1.0,0.08679729448491158,4.165548387096775,0.47767674604256327,0.4075039082855655,0.7599355698045411,0.6641755939016829
status_status_COMPLETED,platform_activity_act_VHIGH,0.5916129032258064,0.2796774193548387,0.25225806451612903,0.4263904034896402,1.5245792973678023,1.0,0.08679729448491158,1.2557714951551577,0.8425372621746001,0.4075039082855655,0.20367678048270696,0.6641755939016829
quiz_score_quiz_GOOD,platform_activity_act_VHIGH,0.3496774193548387,0.2796774193548387,0.15193548387096775,0.43450184501845024,1.5535821448179883,1.0,0.05413860561914674,1.273784139346419,0.5479223536548378,0.31824324324324327,0.21493762631311947,0.48887722008707984
platform_activity_act_VHIGH,quiz_score_quiz_GOOD,0.2796774193548387,0.3496774193548387,0.15193548387096775,0.5432525951557095,1.5535821448179883,1.0,0.05413860561914674,1.423812316715543,0.4946759807291326,0.31824324324324327,0.2976602405668151,0.48887722008707984
watch_time_watch_VHIGH,platform_activity_act_VHIGH,0.29838709677419356,0.2796774193548387,0.14338709677419356,0.4805405405405406,1.7181957043548741,1.0,0.059934963579604594,1.3866771843845456,0.5957617366794669,0.32987012987012987,0.27885162367920996,0.496613984226441
platform_activity_act_VHIGH,watch_time_watch_VHIGH,0.2796774193548387,0.29838709677419356,0.14338709677419356,0.5126874279123415,1.718195704354874,1.0,0.059934963579604594,1.4397594960870397,0.5802874058566235,0.32987012987012987,0.3054395524267855,0.496613984226441
"quiz_score_quiz_GOOD, status_status_COMPLETED",platform_activity_act_VHIGH,0.287258064516129,0.2796774193548387,0.13693548387096774,0.4766984839977541,1.7044582472814738,1.0,0.05659588969823101,1.376496261941022,0.5798779283482745,0.3184546136534134,0.2735178237317679,0.48315893058019194
"quiz_score_quiz_GOOD, platform_activity_act_VHIGH",status_status_COMPLETED,0.15193548387096775,0.5916129032258064,0.13693548387096774,0.9012738853503184,1.523418235870222,1.0,0.04704849115504682,4.136566077003119,0.405135973183048,0.22573783568199948,0.7582535897203689,0.5663675860775583
"platform_activity_act_VHIGH, status_status_COMPLETED",quiz_score_quiz_GOOD,0.25225806451612903,0.3496774193548387,0.13693548387096774,0.5428388746803069,1.5523989958569662,1.0,0.04872653485952133,1.4225237987818633,0.47588036882451157,0.2944849115504683,0.2970240632484878,0.4672220203659837
quiz_score_quiz_GOOD,"platform_activity_act_VHIGH, status_status_COMPLETED",0.3496774193548387,0.25225806451612903,0.13693548387096774,0.3916051660516605,1.5523989958569662,1.0,0.04872653485952133,1.229040573259312,0.5471680034400882,0.2944849115504683,0.1863572108542483,0.4672220203659837
status_status_COMPLETED,"quiz_score_quiz_GOOD, platform_activity_act_VHIGH",0.5916129032258064,0.15193548387096775,0.13693548387096774,0.23146128680479827,1.523418235870222,1.0,0.04704849115504682,1.1034766389362505,0.8413131702197733,0.22573783568199948,0.09377329368386254,0.5663675860775583
platform_activity_act_VHIGH,"quiz_score_quiz_GOOD, status_status_COMPLETED",0.2796774193548387,0.287258064516129,0.13693548387096774,0.48961937716262977,1.7044582472814738,1.0,0.05659588969823101,1.3964909786768729,0.5737753169214117,0.3184546136534134,0.2839194701082382,0.48315893058019194
"course_Machine Learning, platform_activity_act_VHIGH",status_status_COMPLETED,0.10338709677419355,0.5916129032258064,0.0935483870967742,0.9048361934477379,1.529439585435108,1.0,0.03238324661810615,4.291411951348493,0.38608159492838584,0.15553767766157148,0.7669764610489633,0.5314802559387
"course_Machine Learning, status_status_COMPLETED",platform_activity_act_VHIGH,0.2246774193548387,0.2796774193548387,0.0935483870967742,0.41636755204594406,1.488742112275002,1.0,0.03071118626430802,1.234205848510098,0.4234263251149546,0.2277188849627012,0.18976238752459768,0.3754271439583815
platform_activity_act_VHIGH,"course_Machine Learning, status_status_COMPLETED",0.2796774193548387,0.2246774193548387,0.0935483870967742,0.33448673587081895,1.4887421122750017,1.0,0.03071118626430802,1.1649994409347573,0.45575690658924917,0.2277188849627012,0.14163048936947734,0.3754271439583815
status_status_COMPLETED,"course_Machine Learning, platform_activity_act_VHIGH",0.5916129032258064,0.10338709677419355,0.0935483870967742,0.15812431842966196,1.5294395854351077,1.0,0.03238324661810615,1.0650181765000835,0.847641226779975,0.15553767766157148,0.061048889056287844,0.5314802559387
"course_Machine Learning, quiz_score_quiz_GOOD",platform_activity_act_VHIGH,0.13322580645161292,0.2796774193548387,0.0567741935483871,0.4261501210653753,1.5237201560584355,1.0,0.01951394380853278,1.2552456785082347,0.3965410055147682,0.15942028985507248,0.2033432043451247,0.31457448383141895
"course_Machine Learning, platform_activity_act_VHIGH",quiz_score_quiz_GOOD,0.10338709677419355,0.3496774193548387,0.0567741935483871,0.5491419656786272,1.57042444059386,1.0,0.020622060353798127,1.4424109833686798,0.40511292089813405,0.14326414326414327,0.3067163162716985,0.3557517946474317
quiz_score_quiz_GOOD,"course_Machine Learning, platform_activity_act_VHIGH",0.3496774193548387,0.10338709677419355,0.0567741935483871,0.16236162361623618,1.57042444059386,1.0,0.020622060353798127,1.0704057126616455,0.5585373827561326,0.14326414326414327,0.06577479158493692,0.3557517946474317
platform_activity_act_VHIGH,"course_Machine Learning, quiz_score_quiz_GOOD",0.2796774193548387,0.13322580645161292,0.0567741935483871,0.20299884659746253,1.5237201560584352,1.0,0.01951394380853278,1.0875444657112179,0.47716331474168466,0.15942028985507248,0.08049736674809596,0.31457448383141895
"course_Machine Learning, watch_time_watch_VHIGH",platform_activity_act_VHIGH,0.10612903225806451,0.2796774193548387,0.050806451612903224,0.4787234042553192,1.7116984465876466,1.0,0.021124557752341313,1.3818433179723504,0.46515096836280523,0.15166104959075588,0.27632895351163883,0.33019215195464924
"course_Machine Learning, platform_activity_act_VHIGH",watch_time_watch_VHIGH,0.10338709677419355,0.29838709677419356,0.050806451612903224,0.4914196567862714,1.6469199308512878,1.0,0.019957075962539015,1.3795517514347913,0.43809980669127985,0.1447610294117647,0.2751268671436512,0.33084496352827086
watch_time_watch_VHIGH,"course_Machine Learning, platform_activity_act_VHIGH",0.29838709677419356,0.10338709677419355,0.050806451612903224,0.17027027027027025,1.6469199308512878,1.0,0.019957075962539015,1.0806083849952717,0.5598613391716838,0.1447610294117647,0.07459537249067738,0.33084496352827086
platform_activity_act_VHIGH,"course_Machine Learning, watch_time_watch_VHIGH",0.2796774193548387,0.10612903225806451,0.050806451612903224,0.18166089965397925,1.7116984465876464,1.0,0.021124557752341313,1.0922989838368684,0.5772204806687565,0.15166104959075588,0.08449974338770684,0.33019215195464924
"watch_time_watch_VHIGH, quiz_score_quiz_GOOD",platform_activity_act_VHIGH,0.15870967741935485,0.2796774193548387,0.07758064516129032,0.48882113821138207,1.747803377687756,1.0,0.03319313215400624,1.4091399987173732,0.508567911942145,0.21502011622708986,0.2903473033834682,0.3831072242383323
"watch_time_watch_VHIGH, platform_activity_act_VHIGH",quiz_score_quiz_GOOD,0.14338709677419356,0.3496774193548387,0.07758064516129032,0.5410573678290213,1.5473042806918504,1.0,0.027441415192507798,1.4170018975332066,0.41292245999457444,0.18672360248447203,0.2942846429910545,0.3814604182318538
